player,period,decision,payoff
Player1,1,False,8
Player1,2,True,8
Player1,3,False,8
Player1,4,True,8
Player1,5,False,8
Player1,6,False,8
Player1,7,False,8
Player1,8,False,8
Player1,9,False,8
Player1,10,False,8
Player1,11,True,8
Player1,12,False,8
Player1,13,False,8
Player1,14,True,8
Player1,15,True,8
Player2,1,False,8
Player2,2,False,8
Player2,3,False,8
Player2,4,False,8
Player2,5,False,8
Player2,6,False,8
Player2,7,False,8
Player2,8,False,8
Player2,9,False,8
Player2,10,True,8
Player2,11,False,8
Player2,12,False,8
Player2,13,True,8
Player2,14,True,8
Player2,15,True,8
Player3,1,False,0
Player3,2,False,0
Player3,3,True,0
Player3,4,False,0
Player3,5,True,0
Player3,6,True,0
Player3,7,False,0
Player3,8,True,0
Player3,9,False,0
Player3,10,False,0
Player3,11,False,0
Player3,12,False,0
Player3,13,False,0
Player3,14,False,0
Player3,15,False,0
Player4,1,False,0
Player4,2,False,0
Player4,3,False,0
Player4,4,True,0
Player4,5,False,0
Player4,6,False,0
Player4,7,True,0
Player4,8,True,0
Player4,9,True,0
Player4,10,True,0
Player4,11,False,0
Player4,12,False,0
Player4,13,True,0
Player4,14,False,0
Player4,15,True,0
Player5,1,False,0
Player5,2,False,0
Player5,3,False,0
Player5,4,True,0
Player5,5,False,0
Player5,6,False,0
Player5,7,False,0
Player5,8,True,0
Player5,9,False,0
Player5,10,False,0
Player5,11,False,0
Player5,12,True,0
Player5,13,False,0
Player5,14,False,0
Player5,15,True,0
Player6,1,False,0
Player6,2,False,0
Player6,3,False,0
Player6,4,False,0
Player6,5,True,0
Player6,6,False,0
Player6,7,False,0
Player6,8,False,0
Player6,9,False,0
Player6,10,True,0
Player6,11,True,0
Player6,12,False,0
Player6,13,False,0
Player6,14,False,0
Player6,15,True,0
Player7,1,False,0
Player7,2,True,0
Player7,3,False,0
Player7,4,False,0
Player7,5,False,0
Player7,6,True,0
Player7,7,True,0
Player7,8,True,0
Player7,9,False,0
Player7,10,True,0
Player7,11,True,0
Player7,12,False,0
Player7,13,True,0
Player7,14,False,0
Player7,15,False,0
Player8,1,False,0
Player8,2,True,0
Player8,3,True,0
Player8,4,True,0
Player8,5,False,0
Player8,6,False,0
Player8,7,True,0
Player8,8,False,0
Player8,9,False,0
Player8,10,False,0
Player8,11,False,0
Player8,12,False,0
Player8,13,True,0
Player8,14,False,0
Player8,15,True,0
Player9,1,False,0
Player9,2,True,0
Player9,3,True,0
Player9,4,True,0
Player9,5,True,0
Player9,6,False,0
Player9,7,False,0
Player9,8,True,0
Player9,9,False,0
Player9,10,False,0
Player9,11,False,0
Player9,12,True,0
Player9,13,False,0
Player9,14,False,0
Player9,15,False,0
Player10,1,False,0
Player10,2,False,0
Player10,3,False,0
Player10,4,False,0
Player10,5,False,0
Player10,6,False,0
Player10,7,False,0
Player10,8,False,0
Player10,9,False,0
Player10,10,False,0
Player10,11,True,0
Player10,12,False,0
Player10,13,True,0
Player10,14,False,0
Player10,15,False,0
Player11,1,False,0
Player11,2,False,0
Player11,3,False,0
Player11,4,False,0
Player11,5,False,0
Player11,6,True,0
Player11,7,True,0
Player11,8,False,0
Player11,9,False,0
Player11,10,True,0
Player11,11,False,0
Player11,12,False,0
Player11,13,True,0
Player11,14,True,0
Player11,15,False,0
Player12,1,False,0
Player12,2,False,0
Player12,3,False,0
Player12,4,False,0
Player12,5,False,0
Player12,6,False,0
Player12,7,False,0
Player12,8,False,0
Player12,9,False,0
Player12,10,True,0
Player12,11,True,0
Player12,12,True,0
Player12,13,False,0
Player12,14,False,0
Player12,15,True,0
Player13,1,False,0
Player13,2,False,0
Player13,3,True,0
Player13,4,False,0
Player13,5,True,0
Player13,6,False,0
Player13,7,True,0
Player13,8,True,0
Player13,9,False,0
Player13,10,True,0
Player13,11,True,0
Player13,12,False,0
Player13,13,True,0
Player13,14,False,0
Player13,15,True,0
Player14,1,False,0
Player14,2,False,0
Player14,3,True,0
Player14,4,True,0
Player14,5,False,0
Player14,6,False,0
Player14,7,False,0
Player14,8,False,0
Player14,9,False,0
Player14,10,False,0
Player14,11,False,0
Player14,12,False,0
Player14,13,True,0
Player14,14,False,0
Player14,15,False,0
Player15,1,False,0
Player15,2,False,0
Player15,3,False,0
Player15,4,True,0
Player15,5,True,0
Player15,6,False,0
Player15,7,True,0
Player15,8,False,0
Player15,9,False,0
Player15,10,False,0
Player15,11,False,0
Player15,12,False,0
Player15,13,False,0
Player15,14,False,0
Player15,15,False,0
Player16,1,False,0
Player16,2,False,0
Player16,3,False,0
Player16,4,True,0
Player16,5,False,0
Player16,6,False,0
Player16,7,True,0
Player16,8,False,0
Player16,9,True,0
Player16,10,False,0
Player16,11,True,0
Player16,12,False,0
Player16,13,True,0
Player16,14,False,0
Player16,15,False,0
Player17,1,False,0
Player17,2,False,0
Player17,3,True,0
Player17,4,True,0
Player17,5,True,0
Player17,6,True,0
Player17,7,False,0
Player17,8,True,0
Player17,9,False,0
Player17,10,False,0
Player17,11,True,0
Player17,12,False,0
Player17,13,False,0
Player17,14,False,0
Player17,15,True,0
Player18,1,False,0
Player18,2,False,0
Player18,3,False,0
Player18,4,False,0
Player18,5,False,0
Player18,6,True,0
Player18,7,True,0
Player18,8,True,0
Player18,9,True,0
Player18,10,True,0
Player18,11,False,0
Player18,12,True,0
Player18,13,True,0
Player18,14,False,0
Player18,15,False,0
Player19,1,False,0
Player19,2,False,0
Player19,3,False,0
Player19,4,False,0
Player19,5,True,0
Player19,6,False,0
Player19,7,False,0
Player19,8,False,0
Player19,9,False,0
Player19,10,True,0
Player19,11,False,0
Player19,12,False,0
Player19,13,True,0
Player19,14,False,0
Player19,15,False,0
Player20,1,False,0
Player20,2,False,0
Player20,3,True,0
Player20,4,False,0
Player20,5,False,0
