player,period,stag,payoff
Player1,0,False,8
Player2,0,False,8
Player1,1,False,8
Player2,1,False,8
Player1,2,False,8
Player2,2,False,8
Player1,3,False,8
Player2,3,False,8
Player1,4,False,8
Player2,4,False,8
Player1,5,False,8
Player2,5,False,8
Player1,6,False,8
Player2,6,False,8
Player1,7,False,8
Player2,7,False,8
Player1,8,False,8
Player2,8,False,8
Player1,9,False,8
Player2,9,False,8
Player1,10,False,8
Player2,10,False,8
Player1,11,False,8
Player2,11,False,8
Player1,12,False,8
Player2,12,False,8
Player1,13,False,8
Player2,13,False,8
Player1,14,False,8
Player2,14,False,8
Player1,0,True,1
Player2,0,False,8
Player1,1,False,8
Player2,1,False,8
Player1,2,False,8
Player2,2,False,8
Player1,3,False,8
Player2,3,False,8
Player1,4,False,8
Player2,4,False,8
Player1,5,False,8
Player2,5,False,8
Player1,6,False,8
Player2,6,False,8
Player1,7,False,8
Player2,7,False,8
Player1,8,False,8
Player2,8,False,8
Player1,9,False,8
Player2,9,False,8
Player1,10,False,8
Player2,10,False,8
Player1,11,False,8
Player2,11,False,8
Player1,12,False,8
Player2,12,False,8
Player1,13,False,8
Player2,13,False,8
Player1,14,False,8
Player2,14,False,8
Player1,0,False,8
Player2,0,False,8
Player1,1,False,8
Player2,1,False,8
Player1,2,False,8
Player2,2,False,8
Player1,3,False,8
Player2,3,False,8
Player1,4,False,8
Player2,4,False,8
Player1,5,False,8
Player2,5,False,8
Player1,6,False,8
Player2,6,False,8
Player1,7,False,8
Player2,7,False,8
Player1,8,False,8
Player2,8,False,8
Player1,9,False,8
Player2,9,False,8
Player1,10,False,8
Player2,10,False,8
Player1,11,False,8
Player2,11,False,8
Player1,12,False,8
Player2,12,False,8
Player1,13,False,8
Player2,13,False,8
Player1,14,False,8
Player2,14,False,8
Player1,0,True,9
Player2,0,True,9
Player1,1,True,9
Player2,1,True,9
Player1,2,True,9
Player2,2,True,9
Player1,3,True,9
Player2,3,True,9
Player1,4,True,9
Player2,4,True,9
Player1,5,True,9
Player2,5,True,9
Player1,6,True,9
Player2,6,True,9
Player1,7,True,9
Player2,7,True,9
Player1,8,True,9
Player2,8,True,9
Player1,9,True,9
Player2,9,True,9
Player1,10,True,9
Player2,10,True,9
Player1,11,True,9
Player2,11,True,9
Player1,12,True,9
